"Path 1","Path 2","Path 3","Path 4","Path 5","URLs","Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https/","","","","","23","","","","","","","","","",""
"","mos2es.com/","","","","23","https://mos2es.com/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","field-sheet","","","1","https://mos2es.com/field-sheet","text/html; charset=UTF-8","200","OK","1.1","Non-Indexable","Canonicalised","https://mos2es.com/","",""
"","","benchmarks","","","1","https://mos2es.com/benchmarks","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","demovideo","","","1","https://mos2es.com/demovideo","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","press","","","1","https://mos2es.com/press","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","legal","","","1","https://mos2es.com/legal","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","papers","","","1","https://mos2es.com/papers","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","governance-vacuum","","","1","https://mos2es.com/governance-vacuum","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","deck","","","1","https://mos2es.com/deck","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","assets/","","","1","","","","","","","","","",""
"","","","founder.jpg","","1","https://mos2es.com/assets/founder.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"","","deck-stage.js","","","1","https://mos2es.com/deck-stage.js","application/javascript; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","img/","","","11","","","","","","","","","",""
"","","","benchmarks/","","11","","","","","","","","","",""
"","","","","poster_honest","1","https://mos2es.com/img/benchmarks/poster_honest","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","","","poster_honest_portrait","1","https://mos2es.com/img/benchmarks/poster_honest_portrait","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","","","card_06_combined.png","1","https://mos2es.com/img/benchmarks/card_06_combined.png","image/png","200","OK","1.1","Indexable","","","",""
"","","","","MOSES_HONEST_PORTRAIT.png","1","https://mos2es.com/img/benchmarks/MOSES_HONEST_PORTRAIT.png","image/png","200","OK","1.1","Indexable","","","",""
"","","","","poster","1","https://mos2es.com/img/benchmarks/poster","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","","","poster_honest.html","1","https://mos2es.com/img/benchmarks/poster_honest.html","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","","","poster_honest_portrait.html","1","https://mos2es.com/img/benchmarks/poster_honest_portrait.html","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","","","poster.html","1","https://mos2es.com/img/benchmarks/poster.html","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
"","","","","MOSES_UPDATED_VSRAW.pdf","1","https://mos2es.com/img/benchmarks/MOSES_UPDATED_VSRAW.pdf","application/pdf","200","OK","1.1","Indexable","","","",""
"","","","","MOSES_BENCHMARK_POSTER.pdf","1","https://mos2es.com/img/benchmarks/MOSES_BENCHMARK_POSTER.pdf","application/pdf","200","OK","1.1","Indexable","","","",""
"","","","","MOSES_UPDATED_VSRAW.png","1","https://mos2es.com/img/benchmarks/MOSES_UPDATED_VSRAW.png","image/png","200","OK","1.1","Indexable","","","",""
"","","architecture","","","1","https://mos2es.com/architecture","text/html; charset=UTF-8","200","OK","1.1","Indexable","","","",""
