"Path 1","Path 2","Path 3","Path 4","Path 5","URLs","Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https/","","","","","17","","","","","",""
"","sunrisesillneversee.github.io/","","","","1","","","","","",""
"","","KASSA/","","","1","","","","","",""
"","","","demo/","","1","","","","","",""
"","","","","commitment_kernel_demo_v7.html","1","https://sunrisesillneversee.github.io/KASSA/demo/commitment_kernel_demo_v7.html","text/html; charset=utf-8","200","OK","1","6"
"","x.com/","","","","4","","","","","",""
"","","burnmydays","","","1","https://x.com/burnmydays","text/html; charset=UTF-8","200","OK","1","4"
"","","vasuman/","","","1","","","","","",""
"","","","status/","","1","","","","","",""
"","","","","2057177266984226892","1","https://x.com/vasuman/status/2057177266984226892","text/html; charset=UTF-8","200","OK","2","1"
"","","awrigh01/","","","1","","","","","",""
"","","","status/","","1","","","","","",""
"","","","","2056841869594918918","1","https://x.com/awrigh01/status/2056841869594918918","text/html; charset=UTF-8","200","OK","2","1"
"","","antavedissian/","","","1","","","","","",""
"","","","status/","","1","","","","","",""
"","","","","2058302560629596474","1","https://x.com/antavedissian/status/2058302560629596474","text/html; charset=UTF-8","200","OK","2","1"
"","signomy.xyz/","","","","2","https://signomy.xyz/","text/html; charset=utf-8","200","OK","1","4"
"","","moses","","","1","https://signomy.xyz/moses","text/html; charset=utf-8","200","OK","1","8"
"","fonts.googleapis.com/","","","","6","","","","","",""
"","","css2?family=Playfair+Display:ital,wght@0,400;0,500;0,600;0,700;0,800;0,900;1,400;1,500;1,600;1,700&family=DM+Sans:opsz,wght@9..40,300;9..40,400;9..40,500;9..40,600;9..40,700&family=DM+Mono:wght@300;400;500&display=swap","","","1","https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,500;0,600;0,700;0,800;0,900;1,400;1,500;1,600;1,700&family=DM+Sans:opsz,wght@9..40,300;9..40,400;9..40,500;9..40,600;9..40,700&family=DM+Mono:wght@300;400;500&display=swap","text/css; charset=utf-8","200","OK","1","0"
"","","css2?family=Newsreader:ital,opsz,wght@0,6..72,300;0,6..72,400;0,6..72,500;0,6..72,600;1,6..72,300;1,6..72,400&family=IBM+Plex+Sans:wght@300;400;500;600&family=IBM+Plex+Mono:wght@400;500;600&display=swap","","","1","https://fonts.googleapis.com/css2?family=Newsreader:ital,opsz,wght@0,6..72,300;0,6..72,400;0,6..72,500;0,6..72,600;1,6..72,300;1,6..72,400&family=IBM+Plex+Sans:wght@300;400;500;600&family=IBM+Plex+Mono:wght@400;500;600&display=swap","text/css; charset=utf-8","200","OK","2","0"
"","","css2?family=Playfair+Display:wght@700;900&family=DM+Sans:wght@400;500;600;700&family=DM+Mono:wght@300;400;500&display=swap","","","1","https://fonts.googleapis.com/css2?family=Playfair+Display:wght@700;900&family=DM+Sans:wght@400;500;600;700&family=DM+Mono:wght@300;400;500&display=swap","text/css; charset=utf-8","200","OK","2","0"
"","","css2?family=Playfair+Display:wght@300;400;500;600;700&display=swap","","","1","https://fonts.googleapis.com/css2?family=Playfair+Display:wght@300;400;500;600;700&display=swap","text/css; charset=utf-8","200","OK","2","0"
"","","css2?family=Newsreader:ital,opsz,wght@0,6..72,300;0,6..72,400;0,6..72,600;1,6..72,400&family=IBM+Plex+Sans:wght@300;400;500;600&family=IBM+Plex+Mono:wght@400;500&display=swap","","","1","https://fonts.googleapis.com/css2?family=Newsreader:ital,opsz,wght@0,6..72,300;0,6..72,400;0,6..72,600;1,6..72,400&family=IBM+Plex+Sans:wght@300;400;500;600&family=IBM+Plex+Mono:wght@400;500&display=swap","text/css; charset=utf-8","200","OK","2","0"
"","","css2?family=DM+Mono:wght@300;400;500&family=DM+Sans:wght@300;400;500;600;700&family=Playfair+Display:ital,wght@0,400;0,700;0,900;1,400&display=swap","","","1","https://fonts.googleapis.com/css2?family=DM+Mono:wght@300;400;500&family=DM+Sans:wght@300;400;500;600;700&family=Playfair+Display:ital,wght@0,400;0,700;0,900;1,400&display=swap","text/css; charset=utf-8","200","OK","2","0"
"","github.com/","","","","1","","","","","",""
"","","SunrisesIllNeverSee","","","1","https://github.com/SunrisesIllNeverSee","text/html; charset=utf-8","200","OK","1","3"
"","doi.org/","","","","1","","","","","",""
"","","10.5281/","","","1","","","","","",""
"","","","zenodo.20029607","","1","https://doi.org/10.5281/zenodo.20029607","text/html;charset=utf-8","302","Found","1","10"
"","a16z.com/","","","","1","","","","","",""
"","","is-software-losing-its-head/","","","1","https://a16z.com/is-software-losing-its-head/","text/html; charset=UTF-8","200","OK","2","1"
"","huggingface.co/","","","","1","","","","","",""
"","","spaces/","","","1","","","","","",""
"","","","build-small-hackathon/","","1","","","","","",""
"","","","","sigrank","1","https://huggingface.co/spaces/build-small-hackathon/sigrank","text/html; charset=utf-8","200","OK","2","1"
