"Path 1","Path 2","Path 3","URLs","Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https/","","","10","","","","","","",""
"","mos2es.com/","","10","https://mos2es.com/","1","MO§ES is the protocol layer for preserving semantic meaning at execution: commitment conservation, governance enforcement, and lineage-bound artifacts.","151","967","Indexable",""
"","","field-sheet","1","https://mos2es.com/field-sheet","1","MO§ES field sheet: topics, proofs, SIGRANK applications, patent portfolio, and live evidence links for May 5, 2026.","115","696","Indexable",""
"","","resume","1","https://mos2es.com/resume","1","Deric J. McHenry — founder of MO§ES, AI governance researcher, commitment conservation theorist, and inventor of the governance enforcement layer.","146","939","Indexable",""
"","","demovideo","1","https://mos2es.com/demovideo","1","MO§ES product demo video — a walkthrough of governed execution and the SigRank application workflow.","100","661","Indexable",""
"","","press","1","https://mos2es.com/press","1","MO§ES press kit, boilerplate, fact sheet, public record, and quotable lines.","76","450","Indexable",""
"","","legal","1","https://mos2es.com/legal","1","MO§ES patent portfolio, trademark record, IC 042 summary, and licensing surfaces.","81","517","Indexable",""
"","","papers","1","https://mos2es.com/papers","1","MO§ES papers, proofs, live links, strategic ranking, and SIGRANK applications.","78","483","Indexable",""
"","","deck","1","https://mos2es.com/deck","1","MO§ES pitch deck — the investor presentation for sovereign signal governance and the Conservation Law of Commitment.","116","755","Indexable",""
"","","governance-vacuum","1","https://mos2es.com/governance-vacuum","1","Why AI deployments keep failing and what's missing. Four articles diagnose the same structural failure. MO§ES supplies the constitutional substrate.","148","918","Indexable",""
"","","architecture","1","https://mos2es.com/architecture","1","MO§ES system architecture: recursive compression, origin binding, lineage claws, and the governance enforcement layer for multi-agent AI.","137","856","Indexable",""
